LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1138.739295,1138.739276,1661327457.026073,78504.000,10960,1,TH,1,100,34.395
1138.870415,1138.870396,1661327457.157193,78631.000,10976,1,TH,1,100,34.358
1139.003600,1139.003581,1661327457.290378,78760.000,11008,1,TH,1,100,34.358
1139.139882,1139.139863,1661327457.426660,78892.000,11029,1,TH,1,100,34.424
1139.273067,1139.273048,1661327457.559845,79021.000,11045,1,TH,1,100,34.424
1139.405219,1139.405200,1661327457.691997,79149.000,11065,1,TH,1,100,34.381
1139.536339,1139.536320,1661327457.823117,79276.000,11081,1,TH,1,100,34.388
1139.671589,1139.671570,1661327457.958367,79407.000,11098,1,TH,1,100,34.346
1139.807871,1139.807852,1661327458.094649,79539.000,11132,1,TH,1,100,34.346
1139.940023,1139.940004,1661327458.226801,79667.000,11151,1,TH,1,100,34.355
1140.071143,1140.071124,1661327458.357921,79794.000,11169,1,TH,1,100,34.355
1140.204328,1140.204309,1661327458.491106,79923.000,11206,1,TH,1,100,34.405
1140.339577,1140.339558,1661327458.626356,80054.000,11222,1,TH,1,100,34.405
1140.473795,1140.473776,1661327458.760573,80184.000,11240,1,TH,1,100,34.384
1140.606979,1140.606960,1661327458.893758,80313.000,11256,1,TH,1,100,34.384
1140.737067,1140.737048,1661327459.023845,80439.000,11290,1,TH,1,100,34.400
1140.870252,1140.870233,1661327459.157030,80568.000,11307,1,TH,1,100,34.400
1141.006534,1141.006515,1661327459.293312,80700.000,11323,1,TH,1,100,34.469
1141.139718,1141.139699,1661327459.426497,80829.000,11361,1,TH,1,100,34.469
1141.271871,1141.271852,1661327459.558649,80957.000,11380,1,TH,1,100,34.454
1141.404023,1141.404004,1661327459.690802,81085.000,11397,1,TH,1,100,34.462
1141.538240,1141.538221,1661327459.825019,81215.000,11414,1,TH,1,100,34.452
1141.673490,1141.673471,1661327459.960268,81346.000,11451,1,TH,1,100,34.452
1141.805642,1141.805623,1661327460.092421,81474.000,11467,1,TH,1,100,34.514
1141.937795,1141.937776,1661327460.224573,81602.000,11486,1,TH,1,100,34.513
1142.074077,1142.074058,1661327460.360855,81734.000,11503,1,TH,1,100,34.419
1142.206229,1142.206210,1661327460.493008,81862.000,11540,1,TH,1,100,34.419
1142.339414,1142.339395,1661327460.626193,81991.000,11561,1,TH,1,100,34.485
1142.472599,1142.472580,1661327460.759377,82120.000,11576,1,TH,1,100,34.485
1142.604751,1142.604732,1661327460.891530,82248.000,11593,1,TH,1,100,34.400
1142.740001,1142.739982,1661327461.026779,82379.000,11610,1,TH,1,100,34.400
1142.873185,1142.873166,1661327461.159964,82508.000,11627,1,TH,1,100,34.455
1143.005338,1143.005319,1661327461.292116,82636.000,11662,1,TH,1,100,34.455
1143.138523,1143.138504,1661327461.425301,82765.000,11680,1,TH,1,100,34.438
1143.273772,1143.273753,1661327461.560551,82896.000,11697,1,TH,1,100,34.438
1143.404892,1143.404873,1661327461.691671,83023.000,11714,1,TH,1,100,34.450
1143.538077,1143.538058,1661327461.824856,83152.000,11745,1,TH,1,100,34.457
1143.671262,1143.671243,1661327461.958040,83281.000,11762,1,TH,1,100,34.372
1143.803414,1143.803395,1661327462.090193,83409.000,11779,1,TH,1,100,34.372
1143.937631,1143.937612,1661327462.224410,83539.000,11810,1,TH,1,100,34.485
1144.069267,1144.069248,1661327462.356046,83666.500,11830,2,TH,1,100,34.485
1144.200903,1144.200884,1661327462.487682,83794.000,11830,2,TH,1,100,34.372
1144.334088,1144.334069,1661327462.620867,83923.000,11847,1,TH,1,100,34.372
1144.466240,1144.466222,1661327462.753020,84051.000,11869,1,TH,1,100,34.452
1144.598393,1144.598374,1661327462.885172,84179.000,11886,2,TH,1,100,34.452
1144.730545,1144.730526,1661327463.017324,84307.000,11886,2,TH,1,100,34.415
1144.864762,1144.864743,1661327463.151541,84437.000,11919,1,TH,1,100,34.415
1145.001044,1145.001026,1661327463.287824,84569.000,11937,1,TH,1,100,34.502
1145.134229,1145.134210,1661327463.421008,84698.000,11955,1,TH,1,100,34.502
1145.264317,1145.264298,1661327463.551096,84824.000,11972,1,TH,1,100,34.377
1145.397501,1145.397483,1661327463.684281,84953.000,12004,1,TH,1,100,34.377
1145.532751,1145.532732,1661327463.819530,85084.000,12020,1,TH,1,100,34.365
