LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1114.873410,1114.873390,1661327433.160183,55388.000,7018,1,T1,1,100,35.104
1115.006595,1115.006575,1661327433.293368,55517.000,7035,1,T1,1,100,35.081
1115.138747,1115.138727,1661327433.425520,55645.000,7056,1,T1,1,100,35.106
1115.269867,1115.269847,1661327433.556640,55772.000,7090,1,T1,1,100,35.010
1115.407181,1115.407162,1661327433.693955,55905.000,7108,1,T1,1,100,35.040
1115.540366,1115.540346,1661327433.827140,56034.000,7126,1,T1,1,100,35.088
1115.672518,1115.672499,1661327433.959292,56162.000,7160,1,T1,1,100,35.145
1115.805703,1115.805684,1661327434.092477,56291.000,7182,1,T1,1,100,35.098
1115.937856,1115.937836,1661327434.224629,56419.000,7198,1,T1,1,100,35.078
1116.073105,1116.073086,1661327434.359879,56550.000,7216,1,T1,1,100,35.069
1116.205258,1116.205238,1661327434.492031,56678.000,7236,1,T1,1,100,35.030
1116.338442,1116.338423,1661327434.625216,56807.000,7270,1,T1,1,100,35.119
1116.470595,1116.470575,1661327434.757368,56935.000,7287,1,T1,1,100,35.087
1116.606877,1116.606857,1661327434.893650,57067.000,7305,1,T1,1,100,35.109
1116.742126,1116.742107,1661327435.028900,57198.000,7323,1,T1,1,100,35.082
1116.874279,1116.874259,1661327435.161052,57326.000,7357,1,T1,1,100,35.071
1117.007464,1117.007444,1661327435.294237,57455.000,7375,1,T1,1,100,35.102
1117.138583,1117.138564,1661327435.425357,57582.000,7395,1,T1,1,100,35.079
1117.271768,1117.271749,1661327435.558542,57711.000,7411,1,T1,1,100,34.999
1117.404953,1117.404933,1661327435.691727,57840.000,7443,1,T1,1,100,35.106
1117.537105,1117.537086,1661327435.823879,57968.000,7460,1,T1,1,100,35.117
1117.671322,1117.671303,1661327435.958096,58098.000,7478,1,T1,1,100,35.157
1117.803475,1117.803455,1661327436.090249,58226.000,7496,1,T1,1,100,35.103
1117.935627,1117.935608,1661327436.222401,58354.000,7529,1,T1,1,100,35.045
1118.068812,1118.068792,1661327436.355586,58483.000,7546,1,T1,1,100,35.019
1118.201997,1118.201977,1661327436.488771,58612.000,7565,1,T1,1,100,35.115
1118.334149,1118.334129,1661327436.620923,58740.000,7602,1,T1,1,100,35.121
1118.465269,1118.465249,1661327436.752043,58867.000,7618,1,T1,1,100,35.052
1118.597421,1118.597402,1661327436.884195,58995.000,7635,1,T1,1,100,35.093
1118.730606,1118.730586,1661327437.017380,59124.000,7652,1,T1,1,100,35.111
1118.865856,1118.865836,1661327437.152630,59255.000,7685,1,T1,1,100,35.119
1119.001105,1119.001086,1661327437.287879,59386.000,7702,1,T1,1,100,35.087
1119.133258,1119.133238,1661327437.420032,59514.000,7721,1,T1,1,100,35.179
1119.264378,1119.264358,1661327437.551152,59641.000,7740,1,T1,1,100,35.078
1119.397562,1119.397543,1661327437.684337,59770.000,7774,1,T1,1,100,34.998
1119.531780,1119.531760,1661327437.818554,59900.000,7790,1,T1,1,100,34.999
1119.665997,1119.665977,1661327437.952771,60030.000,7807,1,T1,1,100,35.141
1119.798149,1119.798130,1661327438.084923,60158.000,7841,1,T1,1,100,35.168
1119.934431,1119.934412,1661327438.221205,60290.000,7857,1,T1,1,100,35.179
1120.069681,1120.069661,1661327438.356455,60421.000,7878,1,T1,1,100,35.148
1120.201833,1120.201814,1661327438.488608,60549.000,7896,1,T1,1,100,35.064
1120.335018,1120.334998,1661327438.621792,60678.000,7930,1,T1,1,100,35.099
1120.466138,1120.466118,1661327438.752912,60805.000,7947,1,T1,1,100,35.114
