LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1101.888755,1101.888735,1661327420.175526,42811.333,4880,3,MZ,1,100,-40
1101.928676,1101.928656,1661327420.215447,42850.000,4880,3,MZ,1,100,-41
1101.968425,1101.968405,1661327420.255196,42888.500,4897,2,MZ,1,100,-42
1102.008174,1102.008154,1661327420.294945,42927.000,4897,2,MZ,1,100,-40
1102.047751,1102.047731,1661327420.334522,42965.333,4914,3,MZ,1,100,-40
1102.087327,1102.087307,1661327420.374098,43003.667,4914,3,MZ,1,100,-41
1102.126904,1102.126884,1661327420.413675,43042.000,4914,3,MZ,1,100,-40
1102.166653,1102.166633,1661327420.453424,43080.500,4931,2,MZ,1,100,-40
1102.206402,1102.206382,1661327420.493173,43119.000,4931,2,MZ,1,100,-40
1102.246323,1102.246303,1661327420.533094,43157.667,4947,3,MZ,1,100,-41
1102.286244,1102.286224,1661327420.573015,43196.333,4947,3,MZ,1,100,-42
1102.326165,1102.326145,1661327420.612936,43235.000,4947,3,MZ,1,100,-41
1102.366086,1102.366066,1661327420.652857,43273.667,4967,3,MZ,1,100,-41
1102.406007,1102.405987,1661327420.692778,43312.333,4967,3,MZ,1,100,-41
1102.445928,1102.445908,1661327420.732699,43351.000,4967,3,MZ,1,100,-40
1102.485677,1102.485657,1661327420.772448,43389.500,4983,2,MZ,1,100,-42
1102.525426,1102.525406,1661327420.812197,43428.000,4983,2,MZ,1,100,-42
1102.565691,1102.565671,1661327420.852462,43467.000,5000,3,MZ,1,100,-43
1102.605957,1102.605937,1661327420.892727,43506.000,5000,3,MZ,1,100,-42
1102.646222,1102.646202,1661327420.932993,43545.000,5000,3,MZ,1,100,-43
1102.685971,1102.685951,1661327420.972742,43583.500,5014,2,MZ,1,100,-43
1102.725720,1102.725700,1661327421.012491,43622.000,5014,2,MZ,1,100,-43
1102.764608,1102.764588,1661327421.051379,43659.667,5032,3,MZ,1,100,-43
1102.803497,1102.803477,1661327421.090268,43697.333,5032,3,MZ,1,100,-44
1102.842385,1102.842365,1661327421.129156,43735.000,5032,3,MZ,1,100,-43
1102.882306,1102.882286,1661327421.169077,43773.667,5048,3,MZ,1,100,-42
1102.922227,1102.922207,1661327421.208998,43812.333,5048,3,MZ,1,100,-43
1102.962148,1102.962128,1661327421.248919,43851.000,5048,3,MZ,1,100,-42
1103.002414,1103.002394,1661327421.289185,43890.000,5070,2,MZ,1,100,-43
1103.042679,1103.042659,1661327421.329450,43929.000,5070,2,MZ,1,100,-44
1103.078814,1103.078794,1661327421.365585,43964.000,5089,4,MZ,1,100,-41
1103.114949,1103.114929,1661327421.401721,43999.000,5089,4,MZ,1,100,-42
1103.151085,1103.151065,1661327421.437856,44034.000,5089,4,MZ,1,100,-43
1103.187220,1103.187200,1661327421.473991,44069.000,5089,4,MZ,1,100,-44
1103.227485,1103.227465,1661327421.514256,44108.000,5104,2,MZ,1,100,-43
1103.267751,1103.267731,1661327421.554522,44147.000,5104,2,MZ,1,100,-43
1103.307672,1103.307652,1661327421.594443,44185.667,5120,3,MZ,1,100,-42
1103.347593,1103.347573,1661327421.634364,44224.333,5120,3,MZ,1,100,-41
1103.387514,1103.387494,1661327421.674285,44263.000,5120,3,MZ,1,100,-42
1103.426230,1103.426210,1661327421.713001,44300.500,5140,2,MZ,1,100,-41
1103.464947,1103.464927,1661327421.751718,44338.000,5140,2,MZ,1,100,-41
1103.504868,1103.504848,1661327421.791639,44376.667,5156,3,MZ,1,100,-42
1103.544789,1103.544769,1661327421.831560,44415.333,5156,3,MZ,1,100,-43
1103.584710,1103.584690,1661327421.871481,44454.000,5156,3,MZ,1,100,-43
1103.625491,1103.625471,1661327421.912262,44493.500,5172,2,MZ,1,100,-43
1103.666273,1103.666253,1661327421.953044,44533.000,5172,2,MZ,1,100,-44
1103.706882,1103.706862,1661327421.993653,44572.333,5189,3,MZ,1,100,-42
1103.747491,1103.747471,1661327422.034262,44611.667,5189,3,MZ,1,100,-42
1103.788100,1103.788080,1661327422.074872,44651.000,5189,3,MZ,1,100,-42
1103.828021,1103.828001,1661327422.114793,44689.667,5206,3,MZ,1,100,-42
1103.867942,1103.867922,1661327422.154714,44728.333,5206,3,MZ,1,100,-41
1103.907863,1103.907844,1661327422.194635,44767.000,5206,3,MZ,1,100,-42
1103.947612,1103.947592,1661327422.234384,44805.500,5222,2,MZ,1,100,-43
1103.987361,1103.987341,1661327422.274133,44844.000,5222,2,MZ,1,100,-43
1104.027282,1104.027262,1661327422.314054,44882.667,5242,3,MZ,1,100,-42
1104.067203,1104.067183,1661327422.353975,44921.333,5242,3,MZ,1,100,-42
1104.107124,1104.107104,1661327422.393896,44960.000,5242,3,MZ,1,100,-43
1104.146873,1104.146853,1661327422.433645,44998.500,5258,2,MZ,1,100,-42
1104.186622,1104.186602,1661327422.473394,45037.000,5258,2,MZ,1,100,-43
1104.226199,1104.226179,1661327422.512970,45075.333,5275,3,MZ,1,100,-43
1104.265776,1104.265756,1661327422.552547,45113.667,5275,3,MZ,1,100,-44
1104.305353,1104.305333,1661327422.592124,45152.000,5275,3,MZ,1,100,-43
1104.345962,1104.345942,1661327422.632734,45191.333,5291,3,MZ,1,100,-43
1104.386572,1104.386552,1661327422.673343,45230.667,5291,3,MZ,1,100,-43
1104.427181,1104.427161,1661327422.713952,45270.000,5291,3,MZ,1,100,-44
1104.467446,1104.467426,1661327422.754217,45309.000,5309,2,MZ,1,100,-43
1104.507711,1104.507691,1661327422.794482,45348.000,5309,2,MZ,1,100,-44
1104.547632,1104.547612,1661327422.834404,45386.667,5327,3,MZ,1,100,-43
1104.587553,1104.587533,1661327422.874325,45425.333,5327,3,MZ,1,100,-42
1104.627474,1104.627454,1661327422.914246,45464.000,5327,3,MZ,1,100,-44
1104.667223,1104.667203,1661327422.953995,45502.500,5345,2,MZ,1,100,-42
1104.706972,1104.706952,1661327422.993743,45541.000,5345,2,MZ,1,100,-44
1104.746893,1104.746873,1661327423.033664,45579.667,5364,3,MZ,1,100,-43
1104.786814,1104.786794,1661327423.073586,45618.333,5364,3,MZ,1,100,-43
1104.826735,1104.826715,1661327423.113507,45657.000,5364,3,MZ,1,100,-43
1104.867000,1104.866980,1661327423.153772,45696.000,5381,3,MZ,1,100,-44
1104.907266,1104.907246,1661327423.194037,45735.000,5381,3,MZ,1,100,-43
1104.947531,1104.947511,1661327423.234302,45774.000,5381,3,MZ,1,100,-43
1104.988828,1104.988808,1661327423.275600,45814.000,5397,2,MZ,1,100,-42
1105.030126,1105.030106,1661327423.316897,45854.000,5397,2,MZ,1,100,-44
1105.069703,1105.069683,1661327423.356474,45892.333,5413,3,MZ,1,100,-44
1105.109280,1105.109260,1661327423.396051,45930.667,5413,3,MZ,1,100,-43
1105.148856,1105.148837,1661327423.435628,45969.000,5413,3,MZ,1,100,-42
1105.188605,1105.188585,1661327423.475377,46007.500,5431,2,MZ,1,100,-42
1105.228354,1105.228334,1661327423.515126,46046.000,5431,2,MZ,1,100,-42
1105.268275,1105.268255,1661327423.555047,46084.667,5453,3,MZ,1,100,-42
1105.308196,1105.308176,1661327423.594968,46123.333,5453,3,MZ,1,100,-43
1105.348117,1105.348097,1661327423.634889,46162.000,5453,3,MZ,1,100,-43
1105.387694,1105.387674,1661327423.674466,46200.333,5472,3,MZ,1,100,-43
1105.427271,1105.427251,1661327423.714043,46238.667,5472,3,MZ,1,100,-42
1105.466848,1105.466828,1661327423.753620,46277.000,5472,3,MZ,1,100,-43
1105.507113,1105.507093,1661327423.793885,46316.000,5488,2,MZ,1,100,-42
1105.547378,1105.547358,1661327423.834150,46355.000,5488,2,MZ,1,100,-43
1105.587988,1105.587968,1661327423.874759,46394.333,5503,3,MZ,1,100,-43
1105.628597,1105.628577,1661327423.915369,46433.667,5503,3,MZ,1,100,-42
1105.669206,1105.669186,1661327423.955978,46473.000,5503,3,MZ,1,100,-42
1105.709127,1105.709107,1661327423.995899,46511.667,5521,3,MZ,1,100,-42
1105.749048,1105.749028,1661327424.035820,46550.333,5521,3,MZ,1,100,-43
1105.788969,1105.788949,1661327424.075741,46589.000,5521,3,MZ,1,100,-44
1105.822007,1105.821988,1661327424.108779,46621.000,5537,2,MZ,1,100,-42
1105.855046,1105.855026,1661327424.141817,46653.000,5537,2,MZ,1,100,-43
1105.895311,1105.895291,1661327424.182082,46692.000,5554,3,MZ,1,100,-43
1105.935576,1105.935556,1661327424.222347,46731.000,5554,3,MZ,1,100,-42
1105.975841,1105.975821,1661327424.262613,46770.000,5554,3,MZ,1,100,-43
1106.015418,1106.015398,1661327424.302190,46808.333,5568,3,MZ,1,100,-42
1106.054995,1106.054975,1661327424.341766,46846.667,5568,3,MZ,1,100,-43
1106.094572,1106.094552,1661327424.381343,46885.000,5568,3,MZ,1,100,-43
1106.133288,1106.133268,1661327424.420060,46922.500,5593,2,MZ,1,100,-44
1106.172005,1106.171985,1661327424.458776,46960.000,5593,2,MZ,1,100,-42
1106.211926,1106.211906,1661327424.498697,46998.667,5609,3,MZ,1,100,-42
1106.251847,1106.251827,1661327424.538618,47037.333,5609,3,MZ,1,100,-43
1106.291768,1106.291748,1661327424.578539,47076.000,5609,3,MZ,1,100,-43
1106.331689,1106.331669,1661327424.618460,47114.667,5626,3,MZ,1,100,-44
1106.371610,1106.371590,1661327424.658381,47153.333,5626,3,MZ,1,100,-42
1106.411531,1106.411511,1661327424.698303,47192.000,5626,3,MZ,1,100,-43
1106.451796,1106.451776,1661327424.738568,47231.000,5643,2,MZ,1,100,-43
1106.492061,1106.492041,1661327424.778833,47270.000,5643,2,MZ,1,100,-44
1106.531982,1106.531962,1661327424.818754,47308.667,5658,3,MZ,1,100,-42
1106.571903,1106.571883,1661327424.858675,47347.333,5658,3,MZ,1,100,-44
1106.611824,1106.611804,1661327424.898596,47386.000,5658,3,MZ,1,100,-44
1106.651573,1106.651553,1661327424.938345,47424.500,5674,2,MZ,1,100,-44
1106.691322,1106.691302,1661327424.978094,47463.000,5674,2,MZ,1,100,-42
1106.730555,1106.730535,1661327425.017327,47501.000,5692,3,MZ,1,100,-42
1106.769787,1106.769768,1661327425.056559,47539.000,5692,3,MZ,1,100,-44
1106.809020,1106.809000,1661327425.095792,47577.000,5692,3,MZ,1,100,-43
