LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1127.532158,1127.532139,1661327445.818934,67649.000,9105,1,EA,1,100,0.225535
1127.599783,1127.599763,1661327445.886559,67714.500,9125,2,EA,1,100,0.225681
1127.667408,1127.667388,1661327445.954183,67780.000,9125,2,EA,1,100,0.225696
1127.734516,1127.734497,1661327446.021292,67845.000,9142,1,EA,1,100,0.225499
1127.801109,1127.801089,1661327446.087884,67909.500,9158,2,EA,1,100,0.225557
1127.867701,1127.867682,1661327446.154477,67974.000,9158,2,EA,1,100,0.225645
1127.933777,1127.933758,1661327446.220553,68038.000,9173,2,EA,1,100,0.225842
1127.999853,1127.999834,1661327446.286629,68102.000,9173,2,EA,1,100,0.225908
1128.067994,1128.067975,1661327446.354770,68168.000,9191,1,EA,1,100,0.225996
1128.133554,1128.133535,1661327446.420330,68231.500,9209,2,EA,1,100,0.226003
1128.199114,1128.199095,1661327446.485890,68295.000,9209,2,EA,1,100,0.226113
1128.265190,1128.265171,1661327446.551966,68359.000,9228,1,EA,1,100,0.226003
1128.330750,1128.330731,1661327446.617526,68422.500,9244,2,EA,1,100,0.226237
1128.396310,1128.396291,1661327446.683086,68486.000,9244,2,EA,1,100,0.226245
1128.462386,1128.462367,1661327446.749162,68550.000,9262,2,EA,1,100,0.226311
1128.528463,1128.528443,1661327446.815238,68614.000,9262,2,EA,1,100,0.226186
1128.596604,1128.596584,1661327446.883380,68680.000,9278,1,EA,1,100,0.226127
1128.664745,1128.664725,1661327446.951521,68746.000,9296,2,EA,1,100,0.225908
1128.732886,1128.732866,1661327447.019662,68812.000,9296,2,EA,1,100,0.225996
1128.798962,1128.798943,1661327447.085738,68876.000,9314,1,EA,1,100,0.226282
1128.865554,1128.865535,1661327447.152330,68940.500,9331,2,EA,1,100,0.226414
1128.932147,1128.932127,1661327447.218923,69005.000,9331,2,EA,1,100,0.226245
1128.997190,1128.997171,1661327447.283967,69068.000,9347,1,EA,1,100,0.226149
1129.063783,1129.063763,1661327447.350559,69132.500,9370,2,EA,1,100,0.226179
1129.130375,1129.130356,1661327447.417151,69197.000,9370,2,EA,1,100,0.226384
1129.197484,1129.197464,1661327447.484260,69262.000,9386,2,EA,1,100,0.226282
1129.264592,1129.264573,1661327447.551368,69327.000,9386,2,EA,1,100,0.226304
1129.331701,1129.331682,1661327447.618477,69392.000,9403,1,EA,1,100,0.226377
1129.398293,1129.398274,1661327447.685070,69456.500,9418,2,EA,1,100,0.226465
1129.464886,1129.464866,1661327447.751662,69521.000,9418,2,EA,1,100,0.226833
1129.531994,1129.531975,1661327447.818771,69586.000,9435,1,EA,1,100,0.226966
1129.597554,1129.597535,1661327447.884331,69649.500,9451,2,EA,1,100,0.227025
1129.663114,1129.663095,1661327447.949890,69713.000,9451,2,EA,1,100,0.227085
1129.729190,1129.729171,1661327448.015967,69777.000,9469,2,EA,1,100,0.227225
1129.795267,1129.795247,1661327448.082043,69841.000,9469,2,EA,1,100,0.227284
1129.863408,1129.863388,1661327448.150184,69907.000,9484,1,EA,1,100,0.227433
1129.931549,1129.931529,1661327448.218325,69973.000,9502,2,EA,1,100,0.227381
