LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1183.845571,1183.845553,1661327502.132357,122193,18314,1,SA,1,100,0.000281
1184.310169,1184.310151,1661327502.596956,122643,18425,1,SA,1,100,0.000616
1184.775799,1184.775782,1661327503.062586,123094,18495,1,SA,1,100,0.000557
1185.111342,1185.111325,1661327503.398129,123419,18562,1,SA,1,100,0.002120
1185.507799,1185.507782,1661327503.794586,123803,18597,1,SA,1,100,0.000668
1187.034778,1187.034761,1661327505.321566,125282,18852,1,SA,1,100,0.000272
1187.231974,1187.231957,1661327505.518762,125473,18891,1,SA,1,100,0.000316
1187.630496,1187.630479,1661327505.917284,125859,18958,1,SA,1,100,0.000383
1188.295388,1188.295370,1661327506.582175,126503,19061,1,SA,1,100,0.000308
1188.496714,1188.496696,1661327506.783501,126698,19095,1,SA,1,100,0.000781
1188.894203,1188.894185,1661327507.180990,127083,19184,1,SA,1,100,0.000486
1189.229746,1189.229728,1661327507.516534,127408,19253,1,SA,1,100,0.001144
1189.629300,1189.629283,1661327507.916088,127795,19330,1,SA,1,100,0.001027
1190.493453,1190.493435,1661327508.780241,128632,19430,1,SA,1,100,0.000631
1190.760855,1190.760837,1661327509.047643,128891,19483,1,SA,1,100,0.000655
1191.028257,1191.028239,1661327509.315045,129150,19519,1,SA,1,100,0.000306
1191.228550,1191.228532,1661327509.515338,129344,19555,1,SA,1,100,0.000182
1192.023529,1192.023511,1661327510.310317,130114,19676,1,SA,1,100,0.000114
1192.357007,1192.356989,1661327510.643795,130437,19743,1,SA,1,100,0.000310
1192.555236,1192.555218,1661327510.842024,130629,19779,1,SA,1,100,0.000368
1192.755529,1192.755511,1661327511.042317,130823,19797,1,SA,1,100,0.000207
1192.952725,1192.952707,1661327511.239513,131014,19833,1,SA,1,100,0.000333
1193.155083,1193.155066,1661327511.441872,131210,19886,1,SA,1,100,0.000323
1193.551540,1193.551523,1661327511.838329,131594,19974,1,SA,1,100,0.000844
1194.222626,1194.222609,1661327512.509415,132244,20075,1,SA,1,100,0.001173
1194.623213,1194.623196,1661327512.910002,132632,20111,1,SA,1,100,0.000760
1194.823506,1194.823489,1661327513.110295,132826,20144,1,SA,1,100,0.000409
1195.158017,1195.158000,1661327513.444806,133150,20241,1,SA,1,100,0.000692
1195.558604,1195.558586,1661327513.845393,133538,20277,1,SA,1,100,0.000341
1195.890017,1195.890000,1661327514.176806,133859,20346,1,SA,1,100,0.000188
1196.090311,1196.090293,1661327514.377100,134053,20364,1,SA,1,100,0.000413
1196.423789,1196.423771,1661327514.710578,134376,20483,1,SA,1,100,0.001066
1197.483072,1197.483055,1661327515.769861,135402,20634,1,SA,1,100,0.000766
1198.084985,1198.084967,1661327516.371774,135985,20727,1,SA,1,100,0.001613
1199.085419,1199.085402,1661327517.372209,136954,20864,1,SA,1,100,0.000206
1199.285713,1199.285695,1661327517.572502,137148,20914,1,SA,1,100,0.000546
1199.814322,1199.814304,1661327518.101112,137660,21020,1,SA,1,100,0.001123
1200.350158,1200.350141,1661327518.636948,138179,21077,1,SA,1,100,0.000392
1200.615495,1200.615478,1661327518.902285,138436,21184,1,SA,1,100,0.001562
1201.215343,1201.215326,1661327519.502133,139017,21220,1,SA,1,100,0.000260
1201.418734,1201.418716,1661327519.705524,139214,21253,1,SA,1,100,0.000286
1201.615930,1201.615913,1661327519.902720,139405,21291,1,SA,1,100,0.000362
1202.950875,1202.950858,1661327521.237665,140698,21562,1,SA,1,100,0.002336
1204.886700,1204.886683,1661327523.173491,142573,21849,1,SA,1,100,0.000701
1205.485515,1205.485498,1661327523.772306,143153,21942,1,SA,1,100,0.000705
1205.816929,1205.816911,1661327524.103719,143474,21980,1,SA,1,100,0.000721
1206.284624,1206.284607,1661327524.571415,143927,22031,1,SA,1,100,0.000259
