LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1103.409969,1103.409949,1661327421.696740,44284.750,5121,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1103.461849,1103.461829,1661327421.748621,44335.000,5121,4,EM,1,100,PS
1103.513729,1103.513709,1661327421.800501,44385.250,5158,4,EM,1,100,RS
1103.565610,1103.565590,1661327421.852381,44435.500,5158,4,EM,1,100,RB
1103.617490,1103.617470,1661327421.904261,44485.750,5158,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1103.669370,1103.669350,1661327421.956141,44536.000,5158,4,EM,1,100,PS
1103.721250,1103.721230,1661327422.008021,44586.250,5190,4,EM,1,100,RS
1103.773130,1103.773110,1661327422.059901,44636.500,5190,4,EM,1,100,RB
1103.825010,1103.824990,1661327422.111781,44686.750,5190,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1103.876890,1103.876870,1661327422.163661,44737.000,5190,4,EM,1,100,PS
1103.928770,1103.928750,1661327422.215542,44787.250,5223,4,EM,1,100,RS
1103.980651,1103.980631,1661327422.267422,44837.500,5223,4,EM,1,100,RB
1104.032531,1104.032511,1661327422.319302,44887.750,5223,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1104.084411,1104.084391,1661327422.371182,44938.000,5223,4,EM,1,100,PS
1104.136549,1104.136529,1661327422.423320,44988.500,5259,4,EM,1,100,RS
1104.188687,1104.188667,1661327422.475458,45039.000,5259,4,EM,1,100,RB
1104.240825,1104.240805,1661327422.527597,45089.500,5259,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1104.292964,1104.292944,1661327422.579735,45140.000,5259,4,EM,1,100,PS
1104.344586,1104.344566,1661327422.631357,45190.000,5292,4,EM,1,100,RS
1104.396208,1104.396188,1661327422.682979,45240.000,5292,4,EM,1,100,RB
1104.447830,1104.447810,1661327422.734601,45290.000,5292,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1104.499452,1104.499432,1661327422.786223,45340.000,5292,4,EM,1,100,PS
1104.551332,1104.551312,1661327422.838103,45390.250,5328,4,EM,1,100,RS
1104.603212,1104.603192,1661327422.889983,45440.500,5328,4,EM,1,100,RB
1104.655092,1104.655072,1661327422.941863,45490.750,5328,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1104.706972,1104.706952,1661327422.993743,45541.000,5328,4,EM,1,100,PS
1104.759110,1104.759090,1661327423.045882,45591.500,5365,4,EM,1,100,RS
1104.811249,1104.811229,1661327423.098020,45642.000,5365,4,EM,1,100,RB
1104.863387,1104.863367,1661327423.150158,45692.500,5365,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1104.915525,1104.915505,1661327423.202296,45743.000,5365,4,EM,1,100,PS
1104.967405,1104.967385,1661327423.254177,45793.250,5398,4,EM,1,100,RS
1105.019285,1105.019265,1661327423.306057,45843.500,5398,4,EM,1,100,RB
1105.071165,1105.071145,1661327423.357937,45893.750,5398,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1105.123045,1105.123026,1661327423.409817,45944.000,5398,4,EM,1,100,PS
1105.180346,1105.180326,1661327423.467117,45999.500,5437,4,EM,1,100,RS
1105.237646,1105.237626,1661327423.524418,46055.000,5437,4,EM,1,100,RB
1105.294947,1105.294927,1661327423.581718,46110.500,5437,4,EM,1,100,2022-08-24_09-50-13-292108.csv
