LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1149.387882,1149.387864,1661327467.674662,88818.000,12647,1,SF,1,100,99.5694
1149.719296,1149.719277,1661327468.006076,89139.000,12698,1,SF,1,100,100.4998
1150.118850,1150.118831,1661327468.405630,89526.000,12765,1,SF,1,100,99.3372
1150.451296,1150.451277,1661327468.738076,89848.000,12819,1,SF,1,100,102.3526
1150.718698,1150.718679,1661327469.005478,90107.000,12873,1,SF,1,100,103.2508
1151.052176,1151.052157,1661327469.338956,90430.000,12925,1,SF,1,100,104.1387
1151.387719,1151.387700,1661327469.674499,90755.000,12978,1,SF,1,100,102.9340
1151.785208,1151.785190,1661327470.071989,91140.000,13045,1,SF,1,100,103.8255
1152.120751,1152.120733,1661327470.407532,91465.000,13097,1,SF,1,100,104.7067
1152.385056,1152.385037,1661327470.671837,91721.000,13151,1,SF,1,100,103.4954
1152.720599,1152.720580,1661327471.007380,92046.000,13199,1,SF,1,100,102.2982
1153.053045,1153.053026,1661327471.339825,92368.000,13257,1,SF,1,100,103.1971
1153.386523,1153.386504,1661327471.673304,92691.000,13311,1,SF,1,100,104.0855
1153.785045,1153.785026,1661327472.071826,93077.000,13379,1,SF,1,100,102.8814
1154.117491,1154.117472,1661327472.404271,93399.000,13434,1,SF,1,100,105.8558
1154.381795,1154.381777,1661327472.668576,93655.000,13486,1,SF,1,100,106.7135
1154.715273,1154.715255,1661327473.002054,93978.000,13537,1,SF,1,100,105.4790
1155.044622,1155.044603,1661327473.331403,94297.000,13587,1,SF,1,100,106.3411
1155.377067,1155.377049,1661327473.663849,94619.000,13643,1,SF,1,100,105.1109
1155.774557,1155.774538,1661327474.061338,95004.000,13712,1,SF,1,100,105.9773
1156.044024,1156.044005,1661327474.330805,95265.000,13762,1,SF,1,100,106.8336
1156.373372,1156.373354,1661327474.660153,95584.000,13815,1,SF,1,100,105.5977
1156.710980,1156.710962,1661327474.997761,95911.000,13868,1,SF,1,100,106.4584
1157.040328,1157.040310,1661327475.327110,96230.000,13923,1,SF,1,100,107.3091
1157.377936,1157.377918,1661327475.664718,96557.000,13973,1,SF,1,100,106.0678
1157.708317,1157.708299,1661327475.995099,96877.000,14024,1,SF,1,100,106.9230
1158.110969,1158.110950,1661327476.397751,97267.000,14091,1,SF,1,100,105.6861
1158.445479,1158.445461,1661327476.732261,97591.000,14151,1,SF,1,100,106.5458
1158.710817,1158.710798,1661327476.997598,97848.000,14202,1,SF,1,100,107.3955
1159.041197,1159.041179,1661327477.327979,98168.000,14253,1,SF,1,100,108.2354
1159.374676,1159.374657,1661327477.661458,98491.000,14307,1,SF,1,100,109.0656
1159.704024,1159.704005,1661327477.990806,98810.000,14359,1,SF,1,100,109.8862
1160.036470,1160.036451,1661327478.323252,99132.000,14415,1,SF,1,100,110.6973
1160.434992,1160.434973,1661327478.721774,99518.000,14482,1,SF,1,100,109.4167
1160.767437,1160.767419,1661327479.054219,99840.000,14532,1,SF,1,100,110.2332
1161.031742,1161.031723,1661327479.318524,100096.000,14583,1,SF,1,100,108.9580
1161.368317,1161.368299,1661327479.655100,100422.000,14638,1,SF,1,100,107.6976
1161.698698,1161.698680,1661327479.985481,100742.000,14687,1,SF,1,100,106.4517
1162.099285,1162.099267,1661327480.386067,101130.000,14756,1,SF,1,100,107.3026
1162.435860,1162.435842,1661327480.722643,101456.000,14806,1,SF,1,100,106.0613
1162.701198,1162.701179,1661327480.987980,101713.000,14855,1,SF,1,100,104.8344
1163.034676,1163.034657,1661327481.321458,102036.000,14909,1,SF,1,100,105.7039
1163.368154,1163.368135,1661327481.654937,102359.000,14961,1,SF,1,100,104.4811
1163.699567,1163.699549,1661327481.986350,102680.000,15016,1,SF,1,100,105.3547
1164.032013,1164.031994,1661327482.318796,103002.000,15067,1,SF,1,100,104.1359
1164.429502,1164.429484,1661327482.716285,103387.000,15139,1,SF,1,100,102.9313
1164.761948,1164.761930,1661327483.048731,103709.000,15189,1,SF,1,100,103.8228
1165.093361,1165.093343,1661327483.380144,104030.000,15244,1,SF,1,100,104.7041
1165.358698,1165.358680,1661327483.645481,104287.000,15296,1,SF,1,100,105.5751
1165.690112,1165.690093,1661327483.976895,104608.000,15350,1,SF,1,100,108.5183
1166.021525,1166.021507,1661327484.308308,104929.000,15404,1,SF,1,100,109.3452
1166.352938,1166.352920,1661327484.639721,105250.000,15457,1,SF,1,100,110.1625
1166.750428,1166.750409,1661327485.037211,105635.000,15524,1,SF,1,100,110.9704
1167.087003,1167.086985,1661327485.373786,105961.000,15575,1,SF,1,100,109.6867
1167.416352,1167.416333,1661327485.703135,106280.000,15626,1,SF,1,100,110.5001
1167.685818,1167.685800,1661327485.972602,106541.000,15681,1,SF,1,100,111.3041
1168.017232,1168.017213,1661327486.304015,106862.000,15732,1,SF,1,100,112.0987
1168.351742,1168.351724,1661327486.638526,107186.000,15784,1,SF,1,100,112.8842
1168.684188,1168.684170,1661327486.970972,107508.000,15837,1,SF,1,100,113.6606
1169.085807,1169.085789,1661327487.372591,107897.000,15893,1,SF,1,100,112.3458
1169.350112,1169.350094,1661327487.636896,108153.000,15946,1,SF,1,100,113.1284
1169.681525,1169.681507,1661327487.968309,108474.000,15997,1,SF,1,100,113.9020
1170.012938,1170.012920,1661327488.299722,108795.000,16049,1,SF,1,100,114.6666
1170.344352,1170.344333,1661327488.631136,109116.000,16101,1,SF,1,100,115.4224
1170.740809,1170.740790,1661327489.027593,109500.000,16171,1,SF,1,100,116.1694
1171.073254,1171.073236,1661327489.360039,109822.000,16226,1,SF,1,100,116.9078
1171.338591,1171.338573,1661327489.625376,110079.000,16276,1,SF,1,100,117.6377
1171.668972,1171.668954,1661327489.955757,110399.000,16328,1,SF,1,100,118.3591
1172.000386,1172.000367,1661327490.287170,110720.000,16381,1,SF,1,100,119.0722
1172.404070,1172.404051,1661327490.690854,111111.000,16451,1,SF,1,100,117.6947
1172.733418,1172.733400,1661327491.020202,111430.000,16502,1,SF,1,100,118.4155
1173.002885,1173.002867,1661327491.289670,111691.000,16554,1,SF,1,100,119.1279
1173.335331,1173.335312,1661327491.622115,112013.000,16607,1,SF,1,100,119.8321
1173.669841,1173.669823,1661327491.956626,112337.000,16662,1,SF,1,100,120.5281
1174.070428,1174.070410,1661327492.357213,112725.000,16737,1,SF,1,100,121.2161
1174.402874,1174.402856,1661327492.689658,113047.000,16789,1,SF,1,100,119.8138
1174.669243,1174.669225,1661327492.956028,113305.000,16837,1,SF,1,100,118.4278
1174.999624,1174.999606,1661327493.286409,113625.000,16890,1,SF,1,100,119.1401
1175.332070,1175.332052,1661327493.618855,113947.000,16943,1,SF,1,100,117.7619
1175.663483,1175.663465,1661327493.950268,114268.000,16994,1,SF,1,100,118.4819
1175.995929,1175.995911,1661327494.282714,114590.000,17048,1,SF,1,100,121.2758
1176.327342,1176.327324,1661327494.614127,114911.000,17099,1,SF,1,100,119.8728
1176.657723,1176.657705,1661327494.944508,115231.000,17156,1,SF,1,100,120.5684
1176.990169,1176.990151,1661327495.276954,115553.000,17207,1,SF,1,100,121.2559
1177.387658,1177.387640,1661327495.674443,115938.000,17276,1,SF,1,100,119.8532
1177.718039,1177.718021,1661327496.004824,116258.000,17328,1,SF,1,100,120.5490
1178.054614,1178.054596,1661327496.341400,116584.000,17379,1,SF,1,100,119.1545
1178.318919,1178.318901,1661327496.605705,116840.000,17436,1,SF,1,100,119.8583
1178.654462,1178.654444,1661327496.941248,117165.000,17485,1,SF,1,100,118.4718
1178.986908,1178.986890,1661327497.273693,117487.000,17533,1,SF,1,100,117.1013
1179.321418,1179.321400,1661327497.608204,117811.000,17595,1,SF,1,100,117.8289
1179.652832,1179.652814,1661327497.939617,118132.000,17645,1,SF,1,100,118.5481
1179.989407,1179.989389,1661327498.276193,118458.000,17699,1,SF,1,100,117.1768
1180.452973,1180.452955,1661327498.739759,118907.000,17739,1,SF,1,100,117.9035
1180.719342,1180.719324,1661327499.006128,119165.000,17775,1,SF,1,100,118.6218
1181.050756,1181.050738,1661327499.337542,119486.000,17831,1,SF,1,100,119.3319
1181.317125,1181.317107,1661327499.603911,119744.000,17882,1,SF,1,100,117.9514
1181.646473,1181.646456,1661327499.933260,120063.000,17935,1,SF,1,100,118.6692
1181.978919,1181.978901,1661327500.265705,120385.000,17983,1,SF,1,100,117.2964
1182.309300,1182.309282,1661327500.596086,120705.000,18036,1,SF,1,100,118.0218
1182.642778,1182.642760,1661327500.929564,121028.000,18088,1,SF,1,100,118.7388
1183.041300,1183.041282,1661327501.328086,121414.000,18158,1,SF,1,100,117.3652
1183.311799,1183.311781,1661327501.598586,121676.000,18211,1,SF,1,100,118.0897
1183.643213,1183.643195,1661327501.929999,121997.000,18263,1,SF,1,100,118.8059
1183.978756,1183.978738,1661327502.265542,122322.000,18316,1,SF,1,100,121.5961
1184.310169,1184.310151,1661327502.596956,122643.000,18366,1,SF,1,100,120.1894
1184.711788,1184.711770,1661327502.998575,123032.000,18442,1,SF,1,100,120.8813
1185.044234,1185.044216,1661327503.331021,123354.000,18494,1,SF,1,100,119.4830
1185.311636,1185.311618,1661327503.598423,123613.000,18544,1,SF,1,100,120.1830
1185.640984,1185.640966,1661327503.927771,123932.000,18599,1,SF,1,100,122.9573
1185.974462,1185.974445,1661327504.261249,124255.000,18650,1,SF,1,100,121.5349
1186.303811,1186.303793,1661327504.590598,124574.000,18701,1,SF,1,100,120.1290
1186.702333,1186.702315,1661327504.989120,124960.000,18766,1,SF,1,100,118.7393
1187.034778,1187.034761,1661327505.321566,125282.000,18820,1,SF,1,100,117.3657
1187.299083,1187.299065,1661327505.585870,125538.000,18871,1,SF,1,100,118.0903
1187.630496,1187.630479,1661327505.917284,125859.000,18925,1,SF,1,100,118.8064
1187.966039,1187.966022,1661327506.252827,126184.000,18977,1,SF,1,100,119.5143
1188.363529,1188.363511,1661327506.650316,126569.000,19044,1,SF,1,100,118.1318
1188.695974,1188.695957,1661327506.982762,126891.000,19094,1,SF,1,100,118.8475
1188.961312,1188.961294,1661327507.248099,127148.000,19152,1,SF,1,100,119.5549
1189.296855,1189.296837,1661327507.583642,127473.000,19202,1,SF,1,100,120.2541
1189.629300,1189.629283,1661327507.916088,127795.000,19255,1,SF,1,100,120.9453
1189.962778,1189.962761,1661327508.249566,128118.000,19310,1,SF,1,100,119.5462
1190.364398,1190.364380,1661327508.651186,128507.000,19379,1,SF,1,100,120.2455
1190.695811,1190.695793,1661327508.982599,128828.000,19429,1,SF,1,100,118.8545
1190.963213,1190.963195,1661327509.250001,129087.000,19485,1,SF,1,100,121.6441
1191.296691,1191.296673,1661327509.583479,129410.000,19538,1,SF,1,100,122.3192
1191.625007,1191.624989,1661327509.911795,129728.000,19588,1,SF,1,100,122.9864
1192.023529,1192.023511,1661327510.310317,130114.000,19659,1,SF,1,100,121.5637
1192.357007,1192.356989,1661327510.643795,130437.000,19711,1,SF,1,100,122.2397
1192.623377,1192.623359,1661327510.910165,130695.000,19761,1,SF,1,100,122.9079
1192.952725,1192.952707,1661327511.239513,131014.000,19816,1,SF,1,100,125.6506
1193.290333,1193.290315,1661327511.577121,131341.000,19868,1,SF,1,100,126.2793
1193.619681,1193.619664,1661327511.906470,131660.000,19922,1,SF,1,100,126.9007
1194.022333,1194.022315,1661327512.309122,132050.000,19993,1,SF,1,100,127.5150
1194.289735,1194.289717,1661327512.576524,132309.000,20043,1,SF,1,100,126.0399
1194.623213,1194.623196,1661327512.910002,132632.000,20094,1,SF,1,100,126.6641
1194.957724,1194.957706,1661327513.244512,132956.000,20146,1,SF,1,100,129.3633
1195.290169,1195.290152,1661327513.576958,133278.000,20209,1,SF,1,100,127.8669
1195.691789,1195.691771,1661327513.978577,133667.000,20276,1,SF,1,100,128.4699
1195.957126,1195.957108,1661327514.243915,133924.000,20326,1,SF,1,100,129.0660
1196.290604,1196.290586,1661327514.577393,134247.000,20383,1,SF,1,100,131.7375
1196.623050,1196.623032,1661327514.909839,134569.000,20434,1,SF,1,100,130.2136
1196.954463,1196.954445,1661327515.241252,134890.000,20485,1,SF,1,100,130.7895
1197.284844,1197.284826,1661327515.571633,135210.000,20537,1,SF,1,100,129.2765
1197.683366,1197.683348,1661327515.970155,135596.000,20602,1,SF,1,100,127.7810
1197.952832,1197.952815,1661327516.239622,135857.000,20655,1,SF,1,100,128.3851
1198.283213,1198.283196,1661327516.570003,136177.000,20710,1,SF,1,100,126.8999
1198.619789,1198.619771,1661327516.906578,136503.000,20761,1,SF,1,100,127.5142
1198.951202,1198.951185,1661327517.237992,136824.000,20809,1,SF,1,100,126.0391
1199.285713,1199.285695,1661327517.572502,137148.000,20866,1,SF,1,100,126.6633
1199.683202,1199.683185,1661327517.969992,137533.000,20933,1,SF,1,100,127.2803
1200.015648,1200.015630,1661327518.302438,137855.000,20986,1,SF,1,100,125.8079
1200.350158,1200.350141,1661327518.636948,138179.000,21039,1,SF,1,100,126.4348
1200.683637,1200.683619,1661327518.970426,138502.000,21096,1,SF,1,100,127.0545
1200.950006,1200.949989,1661327519.236796,138760.000,21147,1,SF,1,100,125.5847
1201.284517,1201.284499,1661327519.571307,139084.000,21202,1,SF,1,100,126.2142
1201.615930,1201.615913,1661327519.902720,139405.000,21255,1,SF,1,100,128.9186
1202.017549,1202.017532,1661327520.304339,139794.000,21328,1,SF,1,100,129.5096
