LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1106.412219,1106.412199,1661327424.698991,47192.667,5630,3,PG,1,100,9482
1106.452140,1106.452120,1661327424.738912,47231.333,5630,3,PG,1,100,9490
1106.492061,1106.492041,1661327424.778833,47270.000,5630,3,PG,1,100,9482
1106.531982,1106.531962,1661327424.818754,47308.667,5647,3,PG,1,100,9485
1106.571903,1106.571883,1661327424.858675,47347.333,5647,3,PG,1,100,9488
1106.611824,1106.611804,1661327424.898596,47386.000,5647,3,PG,1,100,9496
1106.651573,1106.651553,1661327424.938345,47424.500,5661,2,PG,1,100,9495
1106.691322,1106.691302,1661327424.978094,47463.000,5661,2,PG,1,100,9501
1106.730555,1106.730535,1661327425.017327,47501.000,5679,3,PG,1,100,9502
1106.769787,1106.769768,1661327425.056559,47539.000,5679,3,PG,1,100,9498
1106.809020,1106.809000,1661327425.095792,47577.000,5679,3,PG,1,100,9495
1106.848941,1106.848921,1661327425.135713,47615.667,5695,3,PG,1,100,9494
1106.888862,1106.888842,1661327425.175634,47654.333,5695,3,PG,1,100,9487
1106.928783,1106.928763,1661327425.215555,47693.000,5695,3,PG,1,100,9491
1106.969048,1106.969029,1661327425.255820,47732.000,5712,2,PG,1,100,9485
1107.009314,1107.009294,1661327425.296085,47771.000,5712,2,PG,1,100,9487
1107.049235,1107.049215,1661327425.336006,47809.667,5728,3,PG,1,100,9483
1107.089156,1107.089136,1661327425.375927,47848.333,5728,3,PG,1,100,9484
1107.129077,1107.129057,1661327425.415848,47887.000,5728,3,PG,1,100,9479
1107.168653,1107.168634,1661327425.455425,47925.333,5746,3,PG,1,100,9479
1107.208230,1107.208210,1661327425.495002,47963.667,5746,3,PG,1,100,9478
1107.247807,1107.247787,1661327425.534579,48002.000,5746,3,PG,1,100,9487
1107.287040,1107.287020,1661327425.573812,48040.000,5762,2,PG,1,100,9488
1107.326273,1107.326253,1661327425.613045,48078.000,5762,2,PG,1,100,9494
1107.365505,1107.365486,1661327425.652277,48116.000,5780,3,PG,1,100,9495
1107.404738,1107.404718,1661327425.691510,48154.000,5780,3,PG,1,100,9490
1107.443971,1107.443951,1661327425.730743,48192.000,5780,3,PG,1,100,9494
1107.484236,1107.484216,1661327425.771008,48231.000,5796,2,PG,1,100,9502
1107.524501,1107.524481,1661327425.811273,48270.000,5796,2,PG,1,100,9506
1107.564422,1107.564402,1661327425.851194,48308.667,5814,3,PG,1,100,9506
1107.604343,1107.604323,1661327425.891115,48347.333,5814,3,PG,1,100,9509
1107.644264,1107.644244,1661327425.931036,48386.000,5814,3,PG,1,100,9515
1107.684185,1107.684165,1661327425.970957,48424.667,5830,3,PG,1,100,9523
1107.724106,1107.724086,1661327426.010878,48463.333,5830,3,PG,1,100,9517
1107.764027,1107.764007,1661327426.050799,48502.000,5830,3,PG,1,100,9517
1107.803948,1107.803928,1661327426.090720,48540.667,5847,3,PG,1,100,9508
1107.843869,1107.843849,1661327426.130641,48579.333,5847,3,PG,1,100,9501
1107.883790,1107.883770,1661327426.170562,48618.000,5847,3,PG,1,100,9496
1107.923539,1107.923519,1661327426.210311,48656.500,5863,2,PG,1,100,9497
1107.963288,1107.963268,1661327426.250060,48695.000,5863,2,PG,1,100,9495
1108.002865,1108.002845,1661327426.289637,48733.333,5881,3,PG,1,100,9489
1108.042442,1108.042422,1661327426.329214,48771.667,5881,3,PG,1,100,9489
1108.082019,1108.081999,1661327426.368791,48810.000,5881,3,PG,1,100,9486
1108.121768,1108.121748,1661327426.408540,48848.500,5898,2,PG,1,100,9484
1108.161517,1108.161497,1661327426.448289,48887.000,5898,2,PG,1,100,9486
1108.201438,1108.201418,1661327426.488210,48925.667,5914,3,PG,1,100,9493
1108.241359,1108.241339,1661327426.528131,48964.333,5914,3,PG,1,100,9500
1108.281280,1108.281260,1661327426.568052,49003.000,5914,3,PG,1,100,9491
1108.320857,1108.320837,1661327426.607629,49041.333,5930,3,PG,1,100,9491
1108.360434,1108.360414,1661327426.647206,49079.667,5930,3,PG,1,100,9498
1108.400010,1108.399991,1661327426.686782,49118.000,5930,3,PG,1,100,9502
1108.440276,1108.440256,1661327426.727048,49157.000,5953,2,PG,1,100,9505
1108.480541,1108.480521,1661327426.767313,49196.000,5953,2,PG,1,100,9500
1108.519773,1108.519754,1661327426.806545,49234.000,5969,3,PG,1,100,9503
1108.559006,1108.558986,1661327426.845778,49272.000,5969,3,PG,1,100,9512
1108.598239,1108.598219,1661327426.885011,49310.000,5969,3,PG,1,100,9515
1108.637816,1108.637796,1661327426.924588,49348.333,5988,3,PG,1,100,9516
1108.677393,1108.677373,1661327426.964165,49386.667,5988,3,PG,1,100,9527
1108.716969,1108.716950,1661327427.003742,49425.000,5988,3,PG,1,100,9518
1108.756718,1108.756699,1661327427.043491,49463.500,6005,2,PG,1,100,9512
1108.796467,1108.796448,1661327427.083240,49502.000,6005,2,PG,1,100,9505
1108.844476,1108.844456,1661327427.131248,49548.500,6022,2,PG,1,100,9501
