LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1154.381795,1154.381777,1661327472.668576,93655.000,13491,1,EL,1,100,-13917.799805
1154.448388,1154.448369,1661327472.735168,93719.500,13506,2,EL,1,100,-13916.400391
1154.514980,1154.514961,1661327472.801761,93784.000,13506,2,EL,1,100,-13914.400391
1154.581572,1154.581554,1661327472.868353,93848.500,13522,2,EL,1,100,-13918.400391
1154.648165,1154.648146,1661327472.934946,93913.000,13522,2,EL,1,100,-13923.200195
1154.715273,1154.715255,1661327473.002054,93978.000,13542,1,EL,1,100,-13926.400391
1154.781866,1154.781847,1661327473.068647,94042.500,13560,2,EL,1,100,-13918.599609
1154.848458,1154.848440,1661327473.135239,94107.000,13560,2,EL,1,100,-13914.200195
1154.913502,1154.913483,1661327473.200283,94170.000,13577,1,EL,1,100,-13913.000000
1154.979062,1154.979043,1661327473.265843,94233.500,13592,2,EL,1,100,-13915.799805
1155.044622,1155.044603,1661327473.331403,94297.000,13592,2,EL,1,100,-13918.599609
1155.111730,1155.111712,1661327473.398511,94362.000,13611,1,EL,1,100,-13926.200195
1155.178323,1155.178304,1661327473.465104,94426.500,13627,2,EL,1,100,-13929.799805
1155.244915,1155.244897,1661327473.531696,94491.000,13627,2,EL,1,100,-13929.000000
1155.310991,1155.310973,1661327473.597772,94555.000,13648,2,EL,1,100,-13928.000000
1155.377067,1155.377049,1661327473.663849,94619.000,13648,2,EL,1,100,-13929.599609
1155.443144,1155.443125,1661327473.729925,94683.000,13663,1,EL,1,100,-13933.799805
1155.509736,1155.509717,1661327473.796517,94747.500,13681,2,EL,1,100,-13941.799805
1155.576328,1155.576310,1661327473.863110,94812.000,13681,2,EL,1,100,-13937.200195
1155.641372,1155.641354,1661327473.928153,94875.000,13697,1,EL,1,100,-13934.400391
1155.707965,1155.707946,1661327473.994746,94939.500,13717,2,EL,1,100,-13936.000000
1155.774557,1155.774538,1661327474.061338,95004.000,13717,2,EL,1,100,-13939.599609
1155.839601,1155.839582,1661327474.126382,95067.000,13733,1,EL,1,100,-13946.200195
1155.907742,1155.907723,1661327474.194523,95133.000,13748,2,EL,1,100,-13951.400391
1155.975883,1155.975864,1661327474.262664,95199.000,13748,2,EL,1,100,-13951.599609
1156.044024,1156.044005,1661327474.330805,95265.000,13767,1,EL,1,100,-13948.200195
1156.110100,1156.110081,1661327474.396881,95329.000,13786,2,EL,1,100,-13939.000000
1156.176176,1156.176158,1661327474.462957,95393.000,13786,2,EL,1,100,-13941.599609
1156.241736,1156.241717,1661327474.528517,95456.500,13802,2,EL,1,100,-13949.000000
1156.307296,1156.307277,1661327474.594077,95520.000,13802,2,EL,1,100,-13955.599609
1156.373372,1156.373354,1661327474.660153,95584.000,13820,1,EL,1,100,-13964.599609
1156.440481,1156.440462,1661327474.727262,95649.000,13837,2,EL,1,100,-13956.200195
1156.507589,1156.507571,1661327474.794371,95714.000,13837,2,EL,1,100,-13956.599609
1156.575730,1156.575712,1661327474.862512,95780.000,13853,2,EL,1,100,-13957.400391
1156.643871,1156.643853,1661327474.930653,95846.000,13853,2,EL,1,100,-13958.799805
1156.710980,1156.710962,1661327474.997761,95911.000,13873,1,EL,1,100,-13962.799805
1156.777056,1156.777038,1661327475.063838,95975.000,13894,2,EL,1,100,-13961.000000
1156.843132,1156.843114,1661327475.129914,96039.000,13894,2,EL,1,100,-13961.599609
1156.909209,1156.909190,1661327475.195990,96103.000,13910,2,EL,1,100,-13963.799805
1156.975285,1156.975266,1661327475.262066,96167.000,13910,2,EL,1,100,-13959.200195
1157.040328,1157.040310,1661327475.327110,96230.000,13928,1,EL,1,100,-13952.400391
1157.107953,1157.107935,1661327475.394735,96295.500,13944,2,EL,1,100,-13955.400391
1157.175578,1157.175560,1661327475.462360,96361.000,13944,2,EL,1,100,-13961.000000
1157.244752,1157.244733,1661327475.531533,96428.000,13961,1,EL,1,100,-13964.200195
1157.311344,1157.311325,1661327475.598125,96492.500,13978,2,EL,1,100,-13966.000000
1157.377936,1157.377918,1661327475.664718,96557.000,13978,2,EL,1,100,-13967.799805
1157.444013,1157.443994,1661327475.730794,96621.000,13995,1,EL,1,100,-13971.799805
1157.509573,1157.509554,1661327475.796354,96684.500,14010,2,EL,1,100,-13971.799805
1157.575132,1157.575114,1661327475.861914,96748.000,14010,2,EL,1,100,-13977.200195
1157.641725,1157.641706,1661327475.928506,96812.500,14029,2,EL,1,100,-13981.599609
1157.708317,1157.708299,1661327475.995099,96877.000,14029,2,EL,1,100,-13970.599609
1157.775426,1157.775407,1661327476.062207,96942.000,14045,1,EL,1,100,-13969.799805
1157.843567,1157.843548,1661327476.130348,97008.000,14062,2,EL,1,100,-13976.400391
1157.911708,1157.911689,1661327476.198489,97074.000,14062,2,EL,1,100,-13981.000000
1157.977784,1157.977766,1661327476.264566,97138.000,14078,1,EL,1,100,-13983.599609
1158.044376,1158.044358,1661327476.331158,97202.500,14098,2,EL,1,100,-13983.000000
1158.110969,1158.110950,1661327476.397751,97267.000,14098,2,EL,1,100,-13979.599609
1158.178077,1158.178059,1661327476.464859,97332.000,14119,1,EL,1,100,-13978.200195
1158.245702,1158.245684,1661327476.532484,97397.500,14139,2,EL,1,100,-13985.400391
1158.313327,1158.313309,1661327476.600109,97463.000,14139,2,EL,1,100,-13993.400391
1158.379403,1158.379385,1661327476.666185,97527.000,14156,2,EL,1,100,-14000.200195
1158.445479,1158.445461,1661327476.732261,97591.000,14156,2,EL,1,100,-13995.599609
1158.510523,1158.510505,1661327476.797305,97654.000,14175,1,EL,1,100,-13996.200195
1158.577632,1158.577613,1661327476.864413,97719.000,14189,2,EL,1,100,-13999.000000
1158.644740,1158.644722,1661327476.931522,97784.000,14189,2,EL,1,100,-13997.799805
1158.710817,1158.710798,1661327476.997598,97848.000,14207,1,EL,1,100,-13992.400391
1158.777409,1158.777390,1661327477.064191,97912.500,14223,2,EL,1,100,-14001.000000
1158.844001,1158.843983,1661327477.130783,97977.000,14223,2,EL,1,100,-14001.599609
1158.910078,1158.910059,1661327477.196859,98041.000,14240,1,EL,1,100,-14006.400391
1158.975637,1158.975619,1661327477.262419,98104.500,14258,2,EL,1,100,-14012.200195
1159.041197,1159.041179,1661327477.327979,98168.000,14258,2,EL,1,100,-14003.599609
1159.107790,1159.107771,1661327477.394572,98232.500,14276,2,EL,1,100,-13998.799805
1159.174382,1159.174364,1661327477.461164,98297.000,14276,2,EL,1,100,-14004.200195
1159.241491,1159.241472,1661327477.528273,98362.000,14292,1,EL,1,100,-14015.000000
1159.308083,1159.308065,1661327477.594865,98426.500,14312,2,EL,1,100,-14016.599609
1159.374676,1159.374657,1661327477.661458,98491.000,14312,2,EL,1,100,-14014.799805
1159.438687,1159.438668,1661327477.725469,98553.000,14328,1,EL,1,100,-14016.200195
1159.505279,1159.505261,1661327477.792061,98617.500,14344,2,EL,1,100,-14023.599609
1159.571872,1159.571853,1661327477.858654,98682.000,14344,2,EL,1,100,-14031.000000
1159.637948,1159.637929,1661327477.924730,98746.000,14364,2,EL,1,100,-14025.400391
1159.704024,1159.704005,1661327477.990806,98810.000,14364,2,EL,1,100,-14023.799805
1159.771133,1159.771114,1661327478.057914,98875.000,14384,1,EL,1,100,-14027.200195
1159.837209,1159.837190,1661327478.123991,98939.000,14400,2,EL,1,100,-14032.000000
1159.903285,1159.903266,1661327478.190067,99003.000,14400,2,EL,1,100,-14035.200195
1159.969877,1159.969859,1661327478.256659,99067.500,14420,2,EL,1,100,-14030.400391
