LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1105.374273,1105.374253,1661327423.661044,46187.333,5458,3,PR,1,100,127830
1105.413849,1105.413830,1661327423.700621,46225.667,5458,3,PR,1,100,127833
1105.453426,1105.453406,1661327423.740198,46264.000,5458,3,PR,1,100,127835
1105.493691,1105.493672,1661327423.780463,46303.000,5475,3,PR,1,100,127837
1105.533957,1105.533937,1661327423.820728,46342.000,5475,3,PR,1,100,127837
1105.574222,1105.574202,1661327423.860993,46381.000,5475,3,PR,1,100,127842
1105.615003,1105.614983,1661327423.901775,46420.500,5490,2,PR,1,100,127844
1105.655785,1105.655765,1661327423.942556,46460.000,5490,2,PR,1,100,127853
1105.695706,1105.695686,1661327423.982477,46498.667,5507,3,PR,1,100,127857
1105.735627,1105.735607,1661327424.022398,46537.333,5507,3,PR,1,100,127855
1105.775548,1105.775528,1661327424.062319,46576.000,5507,3,PR,1,100,127848
1105.815297,1105.815277,1661327424.102068,46614.500,5523,2,PR,1,100,127844
1105.855046,1105.855026,1661327424.141817,46653.000,5523,2,PR,1,100,127845
1105.895311,1105.895291,1661327424.182082,46692.000,5540,3,PR,1,100,127846
1105.935576,1105.935556,1661327424.222347,46731.000,5540,3,PR,1,100,127843
1105.975841,1105.975821,1661327424.262613,46770.000,5540,3,PR,1,100,127852
1106.015418,1106.015398,1661327424.302190,46808.333,5556,3,PR,1,100,127880
1106.054995,1106.054975,1661327424.341766,46846.667,5556,3,PR,1,100,127880
1106.094572,1106.094552,1661327424.381343,46885.000,5556,3,PR,1,100,127880
1106.133288,1106.133268,1661327424.420060,46922.500,5579,2,PR,1,100,127886
1106.172005,1106.171985,1661327424.458776,46960.000,5579,2,PR,1,100,127887
1106.211926,1106.211906,1661327424.498697,46998.667,5595,3,PR,1,100,127903
1106.251847,1106.251827,1661327424.538618,47037.333,5595,3,PR,1,100,127899
1106.291768,1106.291748,1661327424.578539,47076.000,5595,3,PR,1,100,127907
1106.332033,1106.332013,1661327424.618804,47115.000,5612,2,PR,1,100,127914
1106.372298,1106.372278,1661327424.659070,47154.000,5612,2,PR,1,100,127918
1106.412219,1106.412199,1661327424.698991,47192.667,5629,3,PR,1,100,127918
1106.452140,1106.452120,1661327424.738912,47231.333,5629,3,PR,1,100,127919
1106.492061,1106.492041,1661327424.778833,47270.000,5629,3,PR,1,100,127928
1106.531982,1106.531962,1661327424.818754,47308.667,5646,3,PR,1,100,127927
1106.571903,1106.571883,1661327424.858675,47347.333,5646,3,PR,1,100,127911
1106.611824,1106.611804,1661327424.898596,47386.000,5646,3,PR,1,100,127920
1106.651573,1106.651553,1661327424.938345,47424.500,5660,2,PR,1,100,127909
1106.691322,1106.691302,1661327424.978094,47463.000,5660,2,PR,1,100,127921
1106.730555,1106.730535,1661327425.017327,47501.000,5678,3,PR,1,100,127908
1106.769787,1106.769768,1661327425.056559,47539.000,5678,3,PR,1,100,127907
1106.809020,1106.809000,1661327425.095792,47577.000,5678,3,PR,1,100,127905
1106.848941,1106.848921,1661327425.135713,47615.667,5694,3,PR,1,100,127903
1106.888862,1106.888842,1661327425.175634,47654.333,5694,3,PR,1,100,127908
1106.928783,1106.928763,1661327425.215555,47693.000,5694,3,PR,1,100,127922
1106.969048,1106.969029,1661327425.255820,47732.000,5711,2,PR,1,100,127917
1107.009314,1107.009294,1661327425.296085,47771.000,5711,2,PR,1,100,127905
1107.049235,1107.049215,1661327425.336006,47809.667,5727,3,PR,1,100,127896
1107.089156,1107.089136,1661327425.375927,47848.333,5727,3,PR,1,100,127900
