LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1188.295388,1188.295370,1661327506.582175,126503,19062,1,SR,1,100,0.066667
1188.496714,1188.496696,1661327506.783501,126698,19096,1,SR,1,100,0.133333
1188.894203,1188.894185,1661327507.180990,127083,19185,1,SR,1,100,0.200000
1189.229746,1189.229728,1661327507.516534,127408,19254,1,SR,1,100,0.266667
1189.629300,1189.629283,1661327507.916088,127795,19331,1,SR,1,100,0.333333
1190.493453,1190.493435,1661327508.780241,128632,19431,1,SR,1,100,0.133333
1190.760855,1190.760837,1661327509.047643,128891,19484,1,SR,1,100,0.133333
1191.028257,1191.028239,1661327509.315045,129150,19520,1,SR,1,100,0.066667
1191.228550,1191.228532,1661327509.515338,129344,19556,1,SR,1,100,0.133333
1192.023529,1192.023511,1661327510.310317,130114,19677,1,SR,1,100,0.066667
1192.357007,1192.356989,1661327510.643795,130437,19744,1,SR,1,100,0.066667
1192.555236,1192.555218,1661327510.842024,130629,19780,1,SR,1,100,0.066667
1192.755529,1192.755511,1661327511.042317,130823,19798,1,SR,1,100,0.066667
1192.952725,1192.952707,1661327511.239513,131014,19834,1,SR,1,100,0.066667
1193.155083,1193.155066,1661327511.441872,131210,19887,1,SR,1,100,0.133333
1193.551540,1193.551523,1661327511.838329,131594,19975,1,SR,1,100,0.266667
1194.222626,1194.222609,1661327512.509415,132244,20076,1,SR,1,100,0.266667
1194.623213,1194.623196,1661327512.910002,132632,20112,1,SR,1,100,0.066667
1194.823506,1194.823489,1661327513.110295,132826,20145,1,SR,1,100,0.066667
1195.158017,1195.158000,1661327513.444806,133150,20242,1,SR,1,100,0.266667
1195.558604,1195.558586,1661327513.845393,133538,20278,1,SR,1,100,0.066667
1195.890017,1195.890000,1661327514.176806,133859,20347,1,SR,1,100,0.066667
1196.090311,1196.090293,1661327514.377100,134053,20365,1,SR,1,100,0.066667
1196.423789,1196.423771,1661327514.710578,134376,20484,1,SR,1,100,0.400000
1197.483072,1197.483055,1661327515.769861,135402,20635,1,SR,1,100,0.333333
1198.084985,1198.084967,1661327516.371774,135985,20728,1,SR,1,100,0.200000
1199.085419,1199.085402,1661327517.372209,136954,20865,1,SR,1,100,0.066667
1199.285713,1199.285695,1661327517.572502,137148,20915,1,SR,1,100,0.200000
1199.814322,1199.814304,1661327518.101112,137660,21021,1,SR,1,100,0.266667
1200.350158,1200.350141,1661327518.636948,138179,21078,1,SR,1,100,0.133333
1200.615495,1200.615478,1661327518.902285,138436,21185,1,SR,1,100,0.466667
1201.215343,1201.215326,1661327519.502133,139017,21221,1,SR,1,100,0.066667
1201.418734,1201.418716,1661327519.705524,139214,21254,1,SR,1,100,0.066667
1201.615930,1201.615913,1661327519.902720,139405,21292,1,SR,1,100,0.133333
1202.950875,1202.950858,1661327521.237665,140698,21563,1,SR,1,100,0.400000
1204.886700,1204.886683,1661327523.173491,142573,21850,1,SR,1,100,0.333333
1205.485515,1205.485498,1661327523.772306,143153,21943,1,SR,1,100,0.200000
1205.816929,1205.816911,1661327524.103719,143474,21981,1,SR,1,100,0.200000
1206.284624,1206.284607,1661327524.571415,143927,22032,1,SR,1,100,0.066667
