LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1101.372191,1101.372171,1661327419.658961,42311.000,4788,2,GX,1,100,1.038
1101.412112,1101.412092,1661327419.698882,42349.667,4805,3,GX,1,100,2.991
1101.452033,1101.452013,1661327419.738803,42388.333,4805,3,GX,1,100,3.143
1101.491954,1101.491934,1661327419.778724,42427.000,4805,3,GX,1,100,2.899
1101.531186,1101.531166,1661327419.817957,42465.000,4825,3,GX,1,100,2.655
1101.570419,1101.570399,1661327419.857190,42503.000,4825,3,GX,1,100,2.563
1101.609652,1101.609632,1661327419.896423,42541.000,4825,3,GX,1,100,-1.678
1101.649917,1101.649897,1661327419.936688,42580.000,4840,2,GX,1,100,-2.411
1101.690182,1101.690162,1661327419.976953,42619.000,4840,2,GX,1,100,-3.357
1101.729759,1101.729739,1661327420.016530,42657.333,4857,3,GX,1,100,-1.801
1101.769336,1101.769316,1661327420.056107,42695.667,4857,3,GX,1,100,0.183
1101.808913,1101.808893,1661327420.095684,42734.000,4857,3,GX,1,100,-2.563
1101.848834,1101.848814,1661327420.135605,42772.667,4875,3,GX,1,100,-1.404
1101.888755,1101.888735,1661327420.175526,42811.333,4875,3,GX,1,100,-0.793
1101.928676,1101.928656,1661327420.215447,42850.000,4875,3,GX,1,100,-0.732
1101.968425,1101.968405,1661327420.255196,42888.500,4892,2,GX,1,100,-0.580
1102.008174,1102.008154,1661327420.294945,42927.000,4892,2,GX,1,100,0.793
1102.047751,1102.047731,1661327420.334522,42965.333,4909,3,GX,1,100,-0.244
1102.087327,1102.087307,1661327420.374098,43003.667,4909,3,GX,1,100,-0.122
1102.126904,1102.126884,1661327420.413675,43042.000,4909,3,GX,1,100,0.549
1102.166653,1102.166633,1661327420.453424,43080.500,4926,2,GX,1,100,0.793
1102.206402,1102.206382,1661327420.493173,43119.000,4926,2,GX,1,100,-0.092
1102.246323,1102.246303,1661327420.533094,43157.667,4942,3,GX,1,100,-2.319
1102.286244,1102.286224,1661327420.573015,43196.333,4942,3,GX,1,100,-4.852
1102.326165,1102.326145,1661327420.612936,43235.000,4942,3,GX,1,100,-5.463
1102.366086,1102.366066,1661327420.652857,43273.667,4962,3,GX,1,100,-5.585
1102.406007,1102.405987,1661327420.692778,43312.333,4962,3,GX,1,100,-3.540
1102.445928,1102.445908,1661327420.732699,43351.000,4962,3,GX,1,100,-3.387
